"observation_id","checking_balance","months_loan_duration","credit_history","purpose","amount","savings_balance","employment_length","installment_rate","personal_status","other_debtors","residence_history","property","age","installment_plan","housing","existing_credits","default","dependents","telephone","foreign_worker","job"
45,"< 0 DM",48,"critical","car (used)",6143,"< 100 DM","> 7 yrs",4,"female","none",4,"unknown/none",58,"stores","for free",2,2,1,"none","yes","unskilled resident"
46,"unknown",11,"critical","car (new)",1393,"< 100 DM","0 - 1 yrs",4,"female","none",4,"other",35,"none","own",2,1,1,"none","yes","mangement self-employed"
47,"unknown",36,"repaid","radio/tv",2299,"501 - 1000 DM","> 7 yrs",4,"single male","none",4,"other",39,"none","own",1,1,1,"none","yes","skilled employee"
48,"< 0 DM",6,"repaid","car (used)",1352,"501 - 1000 DM","unemployed",1,"female","none",2,"building society savings",23,"none","rent",1,1,1,"yes","yes","unemployed non-resident"
49,"unknown",11,"critical","car (new)",7228,"< 100 DM","1 - 4 yrs",1,"single male","none",4,"building society savings",39,"none","own",2,1,1,"none","yes","unskilled resident"
50,"unknown",12,"repaid","radio/tv",2073,"101 - 500 DM","1 - 4 yrs",4,"female","co-applicant",2,"real estate",28,"none","own",1,1,1,"none","yes","skilled employee"
51,"1 - 200 DM",24,"delayed","furniture",2333,"unknown","0 - 1 yrs",4,"single male","none",2,"building society savings",29,"bank","own",1,1,1,"none","yes","unskilled resident"
52,"1 - 200 DM",27,"delayed","car (used)",5965,"< 100 DM","> 7 yrs",1,"single male","none",2,"other",30,"none","own",2,1,1,"yes","yes","mangement self-employed"
53,"unknown",12,"repaid","radio/tv",1262,"< 100 DM","1 - 4 yrs",3,"single male","none",2,"other",25,"none","own",1,1,1,"none","yes","skilled employee"
54,"unknown",18,"repaid","car (used)",3378,"unknown","1 - 4 yrs",2,"single male","none",1,"building society savings",31,"none","own",1,1,1,"yes","yes","skilled employee"
55,"1 - 200 DM",36,"delayed","car (new)",2225,"< 100 DM","> 7 yrs",4,"single male","none",4,"unknown/none",57,"bank","for free",2,2,1,"yes","yes","skilled employee"
56,"unknown",6,"fully repaid this bank","car (new)",783,"unknown","1 - 4 yrs",1,"single male","guarantor",2,"real estate",26,"stores","own",1,1,2,"none","yes","unskilled resident"
57,"1 - 200 DM",12,"repaid","radio/tv",6468,"unknown","unemployed",2,"single male","none",1,"unknown/none",52,"none","own",1,2,1,"yes","yes","mangement self-employed"
58,"unknown",36,"critical","radio/tv",9566,"< 100 DM","1 - 4 yrs",2,"female","none",2,"other",31,"stores","own",2,1,1,"none","yes","skilled employee"
59,"> 200 DM",18,"repaid","car (new)",1961,"< 100 DM","> 7 yrs",3,"female","none",2,"other",23,"none","own",1,1,1,"none","yes","mangement self-employed"
60,"< 0 DM",36,"critical","furniture",6229,"< 100 DM","0 - 1 yrs",4,"female","co-applicant",4,"unknown/none",23,"none","rent",2,2,1,"yes","yes","unskilled resident"
61,"1 - 200 DM",9,"repaid","business",1391,"< 100 DM","1 - 4 yrs",2,"married male","none",1,"real estate",27,"bank","own",1,1,1,"yes","yes","skilled employee"
62,"1 - 200 DM",15,"critical","radio/tv",1537,"unknown","> 7 yrs",4,"single male","guarantor",4,"real estate",50,"none","own",2,1,1,"yes","yes","skilled employee"
63,"1 - 200 DM",36,"fully repaid","business",1953,"< 100 DM","> 7 yrs",4,"single male","none",4,"unknown/none",61,"none","for free",1,2,1,"yes","yes","mangement self-employed"
64,"1 - 200 DM",48,"fully repaid","business",14421,"< 100 DM","1 - 4 yrs",2,"single male","none",2,"other",25,"none","own",1,2,1,"yes","yes","skilled employee"
65,"unknown",24,"repaid","radio/tv",3181,"< 100 DM","0 - 1 yrs",4,"female","none",4,"building society savings",26,"none","own",1,1,1,"yes","yes","skilled employee"
66,"unknown",27,"repaid","repairs",5190,"unknown","> 7 yrs",4,"single male","none",4,"building society savings",48,"none","own",4,1,2,"yes","yes","skilled employee"
67,"unknown",12,"repaid","radio/tv",2171,"< 100 DM","0 - 1 yrs",2,"female","none",2,"other",29,"bank","own",1,1,1,"none","yes","skilled employee"
68,"1 - 200 DM",12,"repaid","car (new)",1007,"> 1000 DM","1 - 4 yrs",4,"married male","none",1,"real estate",22,"none","own",1,1,1,"none","yes","skilled employee"
69,"unknown",36,"repaid","education",1819,"< 100 DM","1 - 4 yrs",4,"single male","none",4,"unknown/none",37,"stores","for free",1,2,1,"yes","yes","skilled employee"
70,"unknown",36,"repaid","radio/tv",2394,"unknown","1 - 4 yrs",4,"female","none",4,"other",25,"none","own",1,1,1,"none","yes","skilled employee"
71,"unknown",36,"repaid","car (used)",8133,"< 100 DM","1 - 4 yrs",1,"female","none",2,"building society savings",30,"bank","own",1,1,1,"none","yes","skilled employee"
72,"unknown",7,"critical","radio/tv",730,"unknown","> 7 yrs",4,"single male","none",2,"building society savings",46,"none","rent",2,1,1,"yes","yes","unskilled resident"
73,"< 0 DM",8,"critical","others",1164,"< 100 DM","> 7 yrs",3,"single male","none",4,"unknown/none",51,"bank","for free",2,1,2,"yes","yes","mangement self-employed"
74,"1 - 200 DM",42,"critical","business",5954,"< 100 DM","4 - 7 yrs",2,"female","none",1,"real estate",41,"bank","own",2,1,1,"none","yes","unskilled resident"
75,"< 0 DM",36,"repaid","education",1977,"unknown","> 7 yrs",4,"single male","none",4,"unknown/none",40,"none","own",1,2,1,"yes","yes","mangement self-employed"
76,"< 0 DM",12,"critical","car (used)",1526,"< 100 DM","> 7 yrs",4,"single male","none",4,"unknown/none",66,"none","for free",2,1,1,"none","yes","mangement self-employed"
77,"< 0 DM",42,"repaid","radio/tv",3965,"< 100 DM","0 - 1 yrs",4,"single male","none",3,"other",34,"none","own",1,2,1,"none","yes","skilled employee"
78,"1 - 200 DM",11,"delayed","radio/tv",4771,"< 100 DM","4 - 7 yrs",2,"single male","none",4,"building society savings",51,"none","own",1,1,1,"none","yes","skilled employee"
79,"unknown",54,"fully repaid","car (used)",9436,"unknown","1 - 4 yrs",2,"single male","none",2,"building society savings",39,"none","own",1,1,2,"none","yes","unskilled resident"
80,"1 - 200 DM",30,"repaid","furniture",3832,"< 100 DM","0 - 1 yrs",2,"married male","none",1,"building society savings",22,"none","own",1,1,1,"none","yes","skilled employee"
81,"unknown",24,"repaid","radio/tv",5943,"unknown","0 - 1 yrs",1,"female","none",1,"other",44,"none","own",2,2,1,"yes","yes","skilled employee"
82,"unknown",15,"repaid","radio/tv",1213,"501 - 1000 DM","> 7 yrs",4,"single male","none",3,"building society savings",47,"stores","own",1,1,1,"yes","yes","skilled employee"
83,"unknown",18,"repaid","business",1568,"101 - 500 DM","1 - 4 yrs",3,"female","none",4,"building society savings",24,"none","rent",1,1,1,"none","yes","unskilled resident"
84,"< 0 DM",24,"repaid","others",1755,"< 100 DM","> 7 yrs",4,"female","guarantor",4,"real estate",58,"none","own",1,1,1,"yes","yes","unskilled resident"
85,"< 0 DM",10,"repaid","radio/tv",2315,"< 100 DM","> 7 yrs",3,"single male","none",4,"real estate",52,"none","own",1,1,1,"none","yes","unskilled resident"
86,"unknown",12,"critical","business",1412,"< 100 DM","1 - 4 yrs",4,"female","guarantor",2,"real estate",29,"none","own",2,1,1,"yes","yes","mangement self-employed"
87,"1 - 200 DM",18,"critical","furniture",1295,"< 100 DM","0 - 1 yrs",4,"female","none",1,"building society savings",27,"none","own",2,1,1,"none","yes","skilled employee"
88,"1 - 200 DM",36,"repaid","education",12612,"101 - 500 DM","1 - 4 yrs",1,"single male","none",4,"unknown/none",47,"none","for free",1,2,2,"yes","yes","skilled employee"
89,"< 0 DM",18,"repaid","car (new)",2249,"101 - 500 DM","4 - 7 yrs",4,"single male","none",3,"other",30,"none","own",1,1,2,"yes","yes","mangement self-employed"
90,"< 0 DM",12,"fully repaid","repairs",1108,"< 100 DM","4 - 7 yrs",4,"single male","none",3,"real estate",28,"none","own",2,2,1,"none","yes","skilled employee"
91,"unknown",12,"critical","radio/tv",618,"< 100 DM","> 7 yrs",4,"single male","none",4,"real estate",56,"none","own",1,1,1,"none","yes","skilled employee"
92,"< 0 DM",12,"critical","car (used)",1409,"< 100 DM","> 7 yrs",4,"single male","none",3,"real estate",54,"none","own",1,1,1,"none","yes","skilled employee"
93,"unknown",12,"critical","radio/tv",797,"unknown","> 7 yrs",4,"female","none",3,"building society savings",33,"bank","own",1,2,2,"none","yes","unskilled resident"
94,"> 200 DM",24,"critical","furniture",3617,"unknown","> 7 yrs",4,"single male","co-applicant",4,"unknown/none",20,"none","rent",2,1,1,"none","yes","skilled employee"
95,"1 - 200 DM",12,"repaid","car (new)",1318,"> 1000 DM","> 7 yrs",4,"single male","none",4,"real estate",54,"none","own",1,1,1,"yes","yes","skilled employee"
96,"1 - 200 DM",54,"fully repaid","business",15945,"< 100 DM","0 - 1 yrs",3,"single male","none",4,"unknown/none",58,"none","rent",1,2,1,"yes","yes","skilled employee"
97,"unknown",12,"critical","education",2012,"unknown","4 - 7 yrs",4,"female","none",2,"other",61,"none","own",1,1,1,"none","yes","skilled employee"
98,"1 - 200 DM",18,"repaid","business",2622,"101 - 500 DM","1 - 4 yrs",4,"single male","none",4,"other",34,"none","own",1,1,1,"none","yes","skilled employee"
99,"1 - 200 DM",36,"critical","radio/tv",2337,"< 100 DM","> 7 yrs",4,"single male","none",4,"real estate",36,"none","own",1,1,1,"none","yes","skilled employee"
100,"1 - 200 DM",20,"delayed","car (used)",7057,"unknown","4 - 7 yrs",3,"single male","none",4,"building society savings",36,"bank","rent",2,1,2,"yes","yes","mangement self-employed"
101,"unknown",24,"repaid","car (new)",1469,"101 - 500 DM","> 7 yrs",4,"married male","none",4,"real estate",41,"none","rent",1,1,1,"none","yes","unskilled resident"
102,"1 - 200 DM",36,"repaid","radio/tv",2323,"< 100 DM","4 - 7 yrs",4,"single male","none",4,"other",24,"none","rent",1,1,1,"none","yes","skilled employee"
103,"unknown",6,"delayed","radio/tv",932,"< 100 DM","1 - 4 yrs",3,"female","none",2,"real estate",24,"none","own",1,1,1,"none","yes","skilled employee"
104,"1 - 200 DM",9,"critical","furniture",1919,"< 100 DM","4 - 7 yrs",4,"single male","none",3,"other",35,"none","rent",1,1,1,"yes","yes","skilled employee"
105,"unknown",12,"repaid","car (used)",2445,"unknown","0 - 1 yrs",2,"married male","none",4,"other",26,"none","rent",1,1,1,"yes","yes","skilled employee"
106,"1 - 200 DM",24,"critical","others",11938,"< 100 DM","1 - 4 yrs",2,"single male","co-applicant",3,"other",39,"none","own",2,2,2,"yes","yes","mangement self-employed"
107,"unknown",18,"fully repaid this bank","car (new)",6458,"< 100 DM","> 7 yrs",2,"single male","none",4,"unknown/none",39,"bank","own",2,2,2,"yes","yes","mangement self-employed"
108,"1 - 200 DM",12,"repaid","car (new)",6078,"< 100 DM","4 - 7 yrs",2,"single male","none",2,"other",32,"none","own",1,1,1,"none","yes","skilled employee"
109,"< 0 DM",24,"repaid","furniture",7721,"unknown","0 - 1 yrs",1,"female","none",2,"building society savings",30,"none","own",1,1,1,"yes","no","skilled employee"
110,"1 - 200 DM",14,"repaid","business",1410,"501 - 1000 DM","> 7 yrs",1,"married male","none",2,"real estate",35,"none","own",1,1,1,"yes","yes","skilled employee"
111,"1 - 200 DM",6,"delayed","business",1449,"101 - 500 DM","> 7 yrs",1,"divorced male","none",2,"other",31,"bank","own",2,1,2,"none","yes","skilled employee"
112,"> 200 DM",15,"repaid","education",392,"< 100 DM","0 - 1 yrs",4,"female","none",4,"building society savings",23,"none","rent",1,1,1,"yes","yes","skilled employee"
113,"1 - 200 DM",18,"repaid","car (new)",6260,"< 100 DM","4 - 7 yrs",3,"single male","none",3,"real estate",28,"none","rent",1,1,1,"none","yes","unskilled resident"
114,"unknown",36,"critical","car (new)",7855,"< 100 DM","1 - 4 yrs",4,"female","none",2,"real estate",25,"stores","own",2,2,1,"yes","yes","skilled employee"
115,"< 0 DM",12,"repaid","radio/tv",1680,"501 - 1000 DM","> 7 yrs",3,"married male","none",1,"real estate",35,"none","own",1,1,1,"none","yes","skilled employee"
116,"unknown",48,"critical","radio/tv",3578,"unknown","> 7 yrs",4,"single male","none",1,"real estate",47,"none","own",1,1,1,"yes","yes","skilled employee"
117,"< 0 DM",42,"repaid","radio/tv",7174,"unknown","4 - 7 yrs",4,"female","none",3,"other",30,"none","own",1,2,1,"yes","yes","mangement self-employed"
118,"< 0 DM",10,"critical","furniture",2132,"unknown","0 - 1 yrs",2,"female","co-applicant",3,"real estate",27,"none","rent",2,1,1,"none","no","skilled employee"
119,"< 0 DM",33,"critical","furniture",4281,"501 - 1000 DM","1 - 4 yrs",1,"female","none",4,"other",23,"none","own",2,2,1,"none","yes","skilled employee"
120,"1 - 200 DM",12,"critical","car (new)",2366,"501 - 1000 DM","4 - 7 yrs",3,"divorced male","none",3,"other",36,"none","own",1,1,1,"yes","yes","mangement self-employed"
121,"< 0 DM",21,"repaid","radio/tv",1835,"< 100 DM","1 - 4 yrs",3,"female","none",2,"real estate",25,"none","own",2,2,1,"yes","yes","skilled employee"
122,"unknown",24,"critical","car (used)",3868,"< 100 DM","> 7 yrs",4,"female","none",2,"other",41,"none","rent",2,1,1,"yes","yes","mangement self-employed"
123,"unknown",12,"repaid","furniture",1768,"< 100 DM","1 - 4 yrs",3,"single male","none",2,"real estate",24,"none","rent",1,1,1,"none","yes","unskilled resident"
124,"> 200 DM",10,"critical","car (new)",781,"< 100 DM","> 7 yrs",4,"single male","none",4,"unknown/none",63,"none","for free",2,1,1,"yes","yes","skilled employee"
125,"1 - 200 DM",18,"repaid","furniture",1924,"unknown","0 - 1 yrs",4,"female","none",3,"real estate",27,"none","rent",1,2,1,"none","yes","skilled employee"
126,"< 0 DM",12,"critical","car (new)",2121,"< 100 DM","1 - 4 yrs",4,"single male","none",2,"building society savings",30,"none","own",2,1,1,"none","yes","skilled employee"
127,"< 0 DM",12,"repaid","radio/tv",701,"< 100 DM","1 - 4 yrs",4,"married male","none",2,"real estate",40,"none","own",1,1,1,"none","yes","unskilled resident"
128,"1 - 200 DM",12,"repaid","repairs",639,"< 100 DM","1 - 4 yrs",4,"single male","none",2,"other",30,"none","own",1,2,1,"none","yes","skilled employee"
129,"1 - 200 DM",12,"critical","car (used)",1860,"< 100 DM","unemployed",4,"single male","none",2,"other",34,"none","own",2,1,1,"yes","yes","mangement self-employed"
130,"< 0 DM",12,"critical","car (new)",3499,"< 100 DM","1 - 4 yrs",3,"female","co-applicant",2,"real estate",29,"none","own",2,2,1,"none","yes","skilled employee"
131,"1 - 200 DM",48,"repaid","car (new)",8487,"unknown","4 - 7 yrs",1,"female","none",2,"other",24,"none","own",1,1,1,"none","yes","skilled employee"
132,"< 0 DM",36,"delayed","education",6887,"< 100 DM","1 - 4 yrs",4,"single male","none",3,"building society savings",29,"stores","own",1,2,1,"yes","yes","skilled employee"
133,"unknown",15,"repaid","furniture",2708,"< 100 DM","0 - 1 yrs",2,"single male","none",3,"building society savings",27,"bank","own",2,1,1,"none","yes","unskilled resident"
134,"unknown",18,"repaid","furniture",1984,"< 100 DM","1 - 4 yrs",4,"single male","none",4,"unknown/none",47,"bank","for free",2,1,1,"none","yes","skilled employee"
135,"unknown",60,"repaid","radio/tv",10144,"101 - 500 DM","4 - 7 yrs",2,"female","none",4,"real estate",21,"none","own",1,1,1,"yes","yes","skilled employee"
136,"unknown",12,"critical","radio/tv",1240,"unknown","> 7 yrs",4,"female","none",2,"real estate",38,"none","own",2,1,1,"yes","yes","skilled employee"
137,"unknown",27,"delayed","car (used)",8613,"> 1000 DM","1 - 4 yrs",2,"single male","none",2,"other",27,"none","own",2,1,1,"none","yes","skilled employee"
138,"1 - 200 DM",12,"repaid","radio/tv",766,"501 - 1000 DM","1 - 4 yrs",4,"single male","none",3,"real estate",66,"none","own",1,2,1,"none","yes","unskilled resident"
139,"1 - 200 DM",15,"critical","radio/tv",2728,"unknown","4 - 7 yrs",4,"single male","guarantor",2,"real estate",35,"bank","own",3,1,1,"yes","yes","skilled employee"
140,"> 200 DM",12,"repaid","radio/tv",1881,"< 100 DM","1 - 4 yrs",2,"female","none",2,"other",44,"none","rent",1,1,1,"yes","yes","unskilled resident"
141,"> 200 DM",6,"repaid","car (new)",709,"> 1000 DM","0 - 1 yrs",2,"married male","none",2,"real estate",27,"none","own",1,1,1,"none","no","unemployed non-resident"
142,"1 - 200 DM",36,"repaid","radio/tv",4795,"< 100 DM","0 - 1 yrs",4,"female","none",1,"unknown/none",30,"none","own",1,1,1,"yes","yes","mangement self-employed"
143,"< 0 DM",27,"repaid","radio/tv",3416,"< 100 DM","1 - 4 yrs",3,"single male","none",2,"other",27,"none","own",1,1,1,"none","yes","mangement self-employed"
144,"< 0 DM",18,"repaid","furniture",2462,"< 100 DM","1 - 4 yrs",2,"single male","none",2,"other",22,"none","own",1,2,1,"none","yes","skilled employee"
145,"unknown",21,"critical","furniture",2288,"< 100 DM","0 - 1 yrs",4,"female","none",4,"building society savings",23,"none","own",1,1,1,"yes","yes","skilled employee"
146,"1 - 200 DM",48,"fully repaid this bank","business",3566,"101 - 500 DM","4 - 7 yrs",4,"single male","none",2,"other",30,"none","own",1,1,1,"none","yes","skilled employee"
147,"< 0 DM",6,"critical","car (new)",860,"< 100 DM","> 7 yrs",1,"female","none",4,"unknown/none",39,"none","own",2,1,1,"yes","yes","skilled employee"
148,"unknown",12,"critical","car (new)",682,"101 - 500 DM","4 - 7 yrs",4,"female","none",3,"other",51,"none","own",2,1,1,"yes","yes","skilled employee"
149,"< 0 DM",36,"critical","furniture",5371,"< 100 DM","1 - 4 yrs",3,"single male","guarantor",2,"building society savings",28,"none","own",2,1,1,"none","yes","skilled employee"
150,"unknown",18,"critical","radio/tv",1582,"> 1000 DM","> 7 yrs",4,"single male","none",4,"other",46,"none","own",2,1,1,"none","yes","skilled employee"
151,"unknown",6,"repaid","radio/tv",1346,"101 - 500 DM","> 7 yrs",2,"single male","none",4,"unknown/none",42,"bank","for free",1,1,2,"yes","yes","skilled employee"
152,"unknown",10,"repaid","radio/tv",1924,"< 100 DM","1 - 4 yrs",1,"single male","none",4,"building society savings",38,"none","own",1,1,1,"yes","no","skilled employee"
153,"> 200 DM",36,"repaid","radio/tv",5848,"< 100 DM","1 - 4 yrs",4,"single male","none",1,"other",24,"none","own",1,1,1,"none","yes","skilled employee"
154,"1 - 200 DM",24,"critical","car (used)",7758,"> 1000 DM","> 7 yrs",2,"female","none",4,"unknown/none",29,"none","rent",1,1,1,"none","yes","skilled employee"
155,"1 - 200 DM",24,"delayed","business",6967,"101 - 500 DM","4 - 7 yrs",4,"single male","none",4,"other",36,"none","rent",1,1,1,"yes","yes","mangement self-employed"
156,"< 0 DM",12,"repaid","furniture",1282,"< 100 DM","1 - 4 yrs",2,"female","none",4,"other",20,"none","rent",1,2,1,"none","yes","skilled employee"
157,"< 0 DM",9,"critical","repairs",1288,"101 - 500 DM","> 7 yrs",3,"single male","guarantor",4,"real estate",48,"none","own",2,1,2,"none","no","skilled employee"
158,"< 0 DM",12,"fully repaid this bank","retraining",339,"< 100 DM","> 7 yrs",4,"married male","none",1,"other",45,"bank","own",1,1,1,"none","yes","unskilled resident"
159,"1 - 200 DM",24,"repaid","car (new)",3512,"101 - 500 DM","4 - 7 yrs",2,"single male","none",3,"other",38,"bank","own",2,1,1,"yes","yes","skilled employee"
160,"unknown",6,"critical","radio/tv",1898,"unknown","1 - 4 yrs",1,"single male","none",2,"real estate",34,"none","own",2,1,2,"none","yes","unskilled resident"
161,"unknown",24,"critical","radio/tv",2872,"101 - 500 DM","> 7 yrs",3,"single male","none",4,"real estate",36,"none","own",1,1,2,"yes","yes","skilled employee"
162,"unknown",18,"critical","car (new)",1055,"< 100 DM","0 - 1 yrs",4,"female","none",1,"building society savings",30,"none","own",2,1,1,"none","yes","skilled employee"
163,"unknown",15,"repaid","domestic appliances",1262,"501 - 1000 DM","4 - 7 yrs",4,"single male","none",3,"building society savings",36,"none","own",2,1,1,"yes","yes","skilled employee"
164,"1 - 200 DM",10,"repaid","car (new)",7308,"< 100 DM","unemployed",2,"single male","none",4,"unknown/none",70,"bank","for free",1,1,1,"yes","yes","mangement self-employed"
